stock,exchange,shortname,quoteType,symbol,index,score,typeDisp,longname,exchDisp,sector,industry,isYahooFinance,prevName,nameChangeDate
LAME4.SA,,,,,,,,,,,,,,
ABEV3.SA,SAO,AMBEV S/A   ON,EQUITY,ABEV3.SA,quotes,2022300.0,Equity,Ambev S.A.,São Paulo,Consumer Defensive,Beverages—Brewers,True,,
VALE5.SA,,,,,,,,,,,,,,
SBSP3.SA,SAO,SABESP      ON      NM,EQUITY,SBSP3.SA,quotes,2042500.0,Equity,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,São Paulo,Utilities,Utilities—Regulated Water,True,,
VALE3.SA,SAO,VALE        ON      NM,EQUITY,VALE3.SA,quotes,2075000.0,Equity,Vale S.A.,São Paulo,Basic Materials,Other Industrial Metals & Mining,True,,
PETR4.SA,SAO,PETROBRAS   PN      N2,EQUITY,PETR4.SA,quotes,2096500.0,Equity,Petróleo Brasileiro S.A. - Petrobras,São Paulo,Energy,Oil & Gas Integrated,True,,
OIBR4.SA,SAO,OI          PN      N1,EQUITY,OIBR4.SA,quotes,2035500.0,Equity,Oi S.A.,São Paulo,Communication Services,Telecom Services,True,,
BBDC4.SA,SAO,BRADESCO    PN      N1,EQUITY,BBDC4.SA,quotes,2055200.0,Equity,Banco Bradesco S.A.,São Paulo,Financial Services,Banks—Regional,True,,
MRVE3.SA,SAO,MRV         ON      NM,EQUITY,MRVE3.SA,quotes,2005800.0,Equity,MRV Engenharia e Participações S.A.,São Paulo,Consumer Cyclical,Residential Construction,True,,
ITUB4.SA,SAO,ITAUUNIBANCOPN  EJ  N1,EQUITY,ITUB4.SA,quotes,2021300.0,Equity,Itaú Unibanco Holding S.A.,São Paulo,Financial Services,Banks—Regional,True,,
EMBR3.SA,SAO,EMBRAER     ON      NM,EQUITY,EMBR3.SA,quotes,2015700.0,Equity,Embraer S.A.,São Paulo,Industrials,Aerospace & Defense,True,,
CYRE3.SA,SAO,CYRELA REALTON      NM,EQUITY,CYRE3.SA,quotes,2006000.0,Equity,Cyrela Brazil Realty S.A. Empreendimentos e Participações,São Paulo,Consumer Cyclical,Residential Construction,True,,
BTOW3.SA,,,,,,,,,,,,,,
BRKM5.SA,SAO,BRASKEM     PNA     N1,EQUITY,BRKM5.SA,quotes,2042300.0,Equity,Braskem S.A.,São Paulo,Basic Materials,Chemicals,True,,
USIM3.SA,SAO,USIMINAS    ON      N1,EQUITY,USIM3.SA,quotes,2003600.0,Equity,Usinas Siderúrgicas de Minas Gerais S.A.,São Paulo,Basic Materials,Steel,True,,
BVMF3.SA,,,,,,,,,,,,,,
BBDC3.SA,SAO,BRADESCO    ON      N1,EQUITY,BBDC3.SA,quotes,2039300.0,Equity,Banco Bradesco S.A.,São Paulo,Financial Services,Banks—Regional,True,,
PRML3.SA,,,,,,,,,,,,,,
MRFG3.SA,SAO,MARFRIG     ON      NM,EQUITY,MRFG3.SA,quotes,2017200.0,Equity,Marfrig Global Foods S.A.,São Paulo,Consumer Defensive,Packaged Foods,True,,
